shopId,categoryId
s1,6
s1,7
s1,5
s2,2
s2,4
s3,4
s4,6
s4,1
s4,7
s4,5
s5,1
s5,2
s5,3
s5,4
s5,5
s5,6
s5,7
s5,9
s5,10
s5,11
s5,12
s5,13
s6,6
s6,7
s6,5
s7,3
s8,4
s9,4
s10,2
s10,4
s11,12
s12,4
s13,2
s13,3
s13,4
s13,7
s14,2
s14,4
s15,2
s15,4
s16,20
s16,22
s16,19
s17,20
s17,22
s17,18
s18,24
s19,23
s20,19
s20,20
s20,25
a1,6
a1,7
a1,5
a2,2
a2,4
a3,4
a4,6
a4,1
a4,7
a4,5
a5,1
a5,2
a5,3
a5,4
a5,5
a5,6
a5,7
a5,9
a5,10
a5,11
a5,12
a5,13
a6,6
a6,7
a6,5
a7,3
a8,4
a9,4
a10,2
a10,4
a11,12
a12,4
a13,2
a13,3
a13,4
a13,7
a14,2
a14,4
a15,2
a15,4
a16,20
a16,22
a16,19
a17,20
a17,22
a17,18
a18,24
a19,23
a20,19
a20,20
a20,25
b1,6
b1,7
b1,5
b2,2
b2,4
b3,4
b4,6
b4,1
b4,7
b4,5
b5,1
b5,2
b5,3
b5,4
b5,5
b5,6
b5,7
b5,9
b5,10
b5,11
b5,12
b5,13
b6,6
b6,7
b6,5
b7,3
b8,4
b9,4
b10,2
b10,4
b11,12
b12,4
b13,2
b13,3
b13,4
b13,7
b14,2
b14,4
b15,2
b15,4
b16,20
b16,22
b16,19
b17,20
b17,22
b17,18
b18,24
b19,23
b20,19
b20,20
b20,25
c1,6
c1,7
c1,5
c2,2
c2,4
c3,4
c4,6
c4,1
c4,7
c4,5
c5,1
c5,2
c5,3
c5,4
c5,5
c5,6
c5,7
c5,9
c5,10
c5,11
c5,12
c5,13
c6,6
c6,7
c6,5
c7,3
c8,4
c9,4
c10,2
c10,4
c11,12
c12,4
c13,2
c13,3
c13,4
c13,7
c14,2
c14,4
c15,2
c15,4
c16,20
c16,22
c16,19
c17,20
c17,22
c17,18
c18,24
c19,23
c20,19
c20,20
c20,25
