shopId,name,brandImageURL,shopImageURL,location,phone,email,hasMenu,gender
s1,Nike,http://res.cloudinary.com/crosscharge/image/upload/v1485304866/nike_logo_z0fp3h.webp,http://res.cloudinary.com/crosscharge/image/upload/v1491134134/Nike_qsudyx.webp,Ground floor,472929,ss@ss.com,0,n
s2,Color Plus,http://res.cloudinary.com/crosscharge/image/upload/v1485304863/color_plus_aimboz.webp,http://res.cloudinary.com/crosscharge/image/upload/v1491134135/Colour_plus_yfrq41.webp,Ground floor,435325,spencers@sp.com,0,n
s3,Ed Hardy,http://res.cloudinary.com/crosscharge/image/upload/v1485304864/ed-hardy-logo_ipjzix.webp,http://res.cloudinary.com/crosscharge/image/upload/v1491134134/Edhardy_165_mjzzia.webp,Ground floor,435325,spencers@sp.com,0,m
s4,Puma,http://res.cloudinary.com/crosscharge/image/upload/v1485305953/8ZfIwgY_jgu0a2.webp,http://res.cloudinary.com/crosscharge/image/upload/v1491134134/Puma_hl30bf.webp,Ground floor,435325,spencers@sp.com,0,n
s5,fbb.,http://res.cloudinary.com/crosscharge/image/upload/v1485304864/fbb_f2beil.webp,http://res.cloudinary.com/crosscharge/image/upload/v1488011073/fbb_tauyrr.webp,Ground floor,435325,spencers@sp.com,0,n
s6,Adidas,http://res.cloudinary.com/crosscharge/image/upload/v1485304864/adidas_fgxctt.webp,http://res.cloudinary.com/crosscharge/image/upload/v1487029743/Alpha_bounce_awbc4d.webp,Ground floor,435325,spencers@sp.com,0,n
s7,Go Colors,http://res.cloudinary.com/crosscharge/image/upload/v1485304864/go_colors_jqmp0f.webp,"http://res.cloudinary.com/crosscharge/image/upload/c_scale,q_69,w_665/v1485331809/Go_colors_doaoyo.webp",First Floor,435325,spencers@sp.com,0,f
s8,Lee Men's Wear,http://res.cloudinary.com/crosscharge/image/upload/v1485304865/lee_101_h7akwj.webp,http://res.cloudinary.com/crosscharge/image/upload/v1488011788/Lee_urban_riders_snbg60.webp,First Floor,435325,spencers@sp.com,0,m
s9,Lee Women's Wear,"http://res.cloudinary.com/crosscharge/image/upload/c_scale,q_59,w_952/v1485304867/wrangler_oprk1t.webp",http://res.cloudinary.com/crosscharge/image/upload/v1488011787/lee14_rneno3.webp,First Floor,435325,spencers@sp.com,0,f
s10,Louis Philippe,http://res.cloudinary.com/crosscharge/image/upload/v1485305303/lp-logo_b6pv1s.webp,http://res.cloudinary.com/crosscharge/image/upload/v1485331808/l_phillipe_offer_ufyl1j.webp,First Floor,435325,spencers@sp.com,0,n
s11,Toy Town,http://res.cloudinary.com/crosscharge/image/upload/q_60/v1485294838/toytownw_mzebo3.webp,http://res.cloudinary.com/crosscharge/image/upload/q_69/v1485049246/Toy_car_rqv8st.webp,First Floor,435325,spencers@sp.com,0,n
s12,Levi's,"http://res.cloudinary.com/crosscharge/image/upload/c_scale,q_64,w_455/v1485304865/Levis-Logo_e3obwg.webp",http://res.cloudinary.com/crosscharge/image/upload/v1488011796/Levi_s_zhd6md.webp,First Floor,435325,spencers@sp.com,0,n
s13,Marks and Spencer,"http://res.cloudinary.com/crosscharge/image/upload/c_scale,w_358/v1485305551/marks_and_spencer_logo-e1422268017888_epoznw.webp",http://res.cloudinary.com/crosscharge/image/upload/v1487188854/IMG_20170214_095403_oej5oa.webp,First Floor,435325,spencers@sp.com,0,n
s14,Mufti,http://res.cloudinary.com/crosscharge/image/upload/v1485305701/mufti-logo_rmrgou.webp,"http://res.cloudinary.com/crosscharge/image/upload/c_scale,w_589/v1488008446/Mufti_sikl9g.webp",Second Floor,435325,spencers@sp.com,0,n
